Student_ID,Gender,City,Study_Hours,Attendance_Percent,Math_Score,Science_Score,English_Score,Performance_Level,Gender_LabelEncoded,Performance_OrdinalEncoded,City_Ahmedabad,City_Bengaluru,City_Chennai,City_Delhi,City_Hyderabad,City_Jaipur,City_Kolkata,City_Mumbai,City_Pune
1,Female,Bengaluru,6.5,92.0,88,91.0,87,Excellent,0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Male,Mumbai,4.2,78.0,72,70.0,75,Average,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,Female,Delhi,7.1,96.0,94,96.0,92,Excellent,0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,Male,Pune,5.0,84.0,79,82.0,80,Good,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,Female,Chennai,8.2,98.0,96,95.0,94,Excellent,0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Male,Hyderabad,3.8,72.0,65,68.0,71,Needs Improvement,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,Female,Bengaluru,6.0,89.0,85,88.0,86,Good,0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Female,Kolkata,5.5,86.0,81,84.0,83,Good,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9,Male,Jaipur,4.5,75.0,70,73.0,76,Average,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,Female,Ahmedabad,7.8,94.0,91,93.0,90,Excellent,0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Female,Bengaluru,6.5,92.0,88,91.0,87,Excellent,0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Male,Mumbai,4.2,78.0,72,70.0,75,Average,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13,Female,Delhi,7.1,96.0,94,96.0,92,Excellent,0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14,Male,Pune,5.0,84.0,79,82.0,80,Good,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,Female,Chennai,5.5,98.0,96,95.0,94,Excellent,0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Male,Hyderabad,3.8,72.0,65,68.0,71,Needs Improvement,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17,Female,Bengaluru,6.0,89.0,85,88.0,86,Good,0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Female,Kolkata,5.5,86.0,81,84.0,83,Good,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
19,Male,Jaipur,4.5,75.0,70,73.0,76,Average,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20,Female,Ahmedabad,7.8,94.0,91,93.0,90,Excellent,0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Female,Bengaluru,6.5,92.0,88,91.0,87,Excellent,0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Male,Mumbai,4.2,78.0,72,70.0,75,Average,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23,Female,Delhi,7.1,96.0,94,96.0,92,Excellent,0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
24,Male,Pune,5.0,84.0,79,82.0,80,Good,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25,Female,Chennai,8.2,98.0,96,95.0,94,Excellent,0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Male,Hyderabad,3.8,72.0,65,68.0,71,Needs Improvement,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
27,Female,Bengaluru,6.0,89.0,85,88.0,86,Good,0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Female,Kolkata,5.5,86.0,81,84.0,83,Good,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
29,Male,Jaipur,4.5,75.0,70,73.0,76,Average,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
30,Female,Ahmedabad,7.8,94.0,91,93.0,90,Excellent,0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Female,Bengaluru,6.5,92.0,88,91.0,87,Excellent,0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Male,Mumbai,4.2,78.0,72,70.0,75,Average,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
33,Female,Delhi,7.1,96.0,94,96.0,92,Excellent,0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34,Male,Pune,5.0,84.0,79,82.0,80,Good,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
